County,REP,DEM,OTH
JASPER,9957,3423,137
JEFF DAVIS,719,440,33
JEFFERSON,43242,44668,717
JIM HOGG,356,1301,10
JIM WELLS,4598,6492,76
JOHNSON,37661,10496,681
JONES,4262,1226,79
KARNES,2825,1325,35
KAUFMAN,24846,9472,352
KENDALL,14508,3043,232
KENEDY,84,82,1
KENT,335,66,4
KERR,17274,4338,267
KIMBLE,1667,217,8
KING,139,5,1
KINNEY,880,522,23
KLEBERG,4058,4754,95
KNOX,1160,332,18
LAMAR,12826,4181,190
LAMB,3058,998,35
LAMPASAS,5621,1479,104
LASALLE,669,965,12
LAVACA,6796,1428,70
LEE,4507,1632,82
LEON,5814,1062,69
LIBERTY,17323,5202,221
LIMESTONE,5288,2208,67
LIPSCOMB,1044,119,5
LIVE OAK,3154,919,40
LLANO,7610,1822,126
LOVING,54,9,1
LUBBOCK,63469,26271,1444
LYNN,1439,506,14
MADISON,3028,967,33
MARION,2733,1495,54
MARTIN,1368,248,8
MASON,1565,380,23
MATAGORDA,8040,3980,113
MAVERICK,2171,8303,89
MCCULLOCH,2419,537,37
MCLENNAN,47903,25694,944
MCMULLEN,431,67,5
MEDINA,11079,4784,186
MENARD,665,171,13
MIDLAND,35689,8286,622
MILAM,5481,2636,113
MILLS,1882,279,40
MITCHELL,1756,538,22
MONTAGUE,6549,1116,86
MONTGOMERY,137969,32920,2224
MOORE,3968,964,53
MORRIS,3232,1858,49
MOTLEY,538,55,7
NACOGDOCHES,13925,6465,263
NAVARRO,10847,4350,167
NEWTON,4112,1677,80
NOLAN,3282,1216,77
NUECES,48966,45772,1366
OCHILTREE,2719,253,21
OLDHAM,790,71,8
ORANGE,23366,6800,352
PALO PINTO,7393,1811,133
PANOLA,7950,2211,69
PARKER,39243,7853,598
PARMER,2011,529,14
PECOS,2512,1591,47
POLK,14071,4859,204
POTTER,18918,7126,406
PRESIDIO,504,1282,31
RAINS,3279,761,47
RANDALL,41447,7574,675
REAGAN,676,158,9
REAL,1236,277,22
RED RIVER,3549,1482,43
REEVES,1188,1655,34
REFUGIO,1663,998,16
ROBERTS,468,33,7
ROBERTSON,4419,2798,70
ROCKWALL,27113,8120,445
RUNNELS,3104,519,45
RUSK,13924,4451,171
SABINE,3727,807,44
SAN AUGUSTINE,2469,1193,28
SAN JACINTO,7107,2410,99
SAN PATRICIO,12005,7856,217
SAN SABA,1905,323,31
SCHLEICHER,787,221,9
SCURRY,4124,838,65
SHACKELFORD,1218,131,14
SHELBY,6879,2322,83
SHERMAN,908,121,9
SMITH,57331,21456,814
SOMERVELL,2871,613,54
STARR,1547,10260,76
STEPHENS,2892,475,45
STERLING,459,31,4
STONEWALL,507,160,8
SUTTON,1110,369,10
SWISHER,1655,579,36
TARRANT,348920,253071,8899
TAYLOR,32904,9750,609
TERRELL,358,184,13
TERRY,2602,1059,48
THROCKMORTON,700,109,4
TITUS,6084,2648,122
TOM GREEN,26878,9294,548
TRAVIS,140152,232788,14117
TRINITY,4537,1614,84
TYLER,5910,1668,76
UPSHUR,12015,2971,152
UPTON,953,333,14
UVALDE,4529,3825,81
VAL VERDE,5635,6285,161
VAN ZANDT,15794,3084,222
VICTORIA,19692,8802,359
WALKER,12140,6252,293
WALLER,9244,6514,144
WARD,2366,841,38
WASHINGTON,10857,3381,159
WEBB,11078,37597,435
WHARTON,9750,4235,102
WHEELER,1878,232,18
WICHITA,29812,10525,681
WILBARGER,2956,971,53
WILLACY,1416,3600,48
WILLIAMSON,97006,61875,4390
WILSON,12218,4821,166
WINKLER,1311,398,16
WISE,17207,3221,317
WOOD,14351,3056,174
YOAKUM,1698,409,21
YOUNG,6225,992,99
ZAPATA,997,2527,19
ZAVALA,574,3042,37
