county,N,V,total_precincts,reported_precincts,precinct_diff
LYNN,OTH,12,15,15,0
LYNN,TRUMP,1853,15,15,0
MADISON,BIDEN,1084,5,5,0
MADISON,OTH,40,5,5,0
MADISON,TRUMP,4165,5,5,0
MARION,BIDEN,1331,10,10,0
MARION,OTH,54,10,10,0
MARION,TRUMP,3459,10,10,0
MARTIN,BIDEN,288,6,6,0
MARTIN,OTH,15,6,6,0
MARTIN,TRUMP,1857,6,6,0
MASON,BIDEN,566,5,5,0
MASON,OTH,26,5,5,0
MASON,TRUMP,2108,5,5,0
MATAGORDA,BIDEN,3726,19,19,0
MATAGORDA,OTH,148,19,19,0
MATAGORDA,TRUMP,9836,19,19,0
MCCULLOCH,BIDEN,490,4,4,0
MCCULLOCH,OTH,42,4,4,0
MCCULLOCH,TRUMP,2898,4,4,0
MCLENNAN,BIDEN,36550,92,92,0
MCLENNAN,OTH,1635,92,92,0
MCLENNAN,TRUMP,59432,92,92,0
MCMULLEN,BIDEN,53,5,5,0
MCMULLEN,OTH,3,5,5,0
MCMULLEN,TRUMP,460,5,5,0
MEDINA,BIDEN,6731,8,8,0
MEDINA,OTH,238,8,8,0
MEDINA,TRUMP,15599,8,8,0
MENARD,BIDEN,196,7,7,0
MENARD,OTH,8,7,7,0
MENARD,TRUMP,819,7,7,0
MIDLAND,BIDEN,12258,45,45,0
MIDLAND,OTH,899,45,45,0
MIDLAND,TRUMP,45463,45,45,0
MILAM,BIDEN,2475,12,12,0
MILAM,OTH,98,12,12,0
MILAM,TRUMP,7950,12,12,0
MILLS,BIDEN,271,8,8,0
MILLS,OTH,17,8,8,0
MILLS,TRUMP,2214,8,8,0
MITCHELL,BIDEN,397,7,7,0
MITCHELL,OTH,12,7,7,0
MITCHELL,TRUMP,2169,7,7,0
MONTAGUE,BIDEN,1097,16,16,0
MONTAGUE,OTH,102,16,16,0
MONTAGUE,TRUMP,8613,16,16,0
MOORE,BIDEN,1059,8,8,0
MOORE,OTH,87,8,8,0
MOORE,TRUMP,4356,8,8,0
MORRIS,BIDEN,1664,9,9,0
MORRIS,OTH,43,9,9,0
MORRIS,TRUMP,3841,9,9,0
MOTLEY,BIDEN,46,7,7,0
MOTLEY,OTH,2,7,7,0
MOTLEY,TRUMP,604,7,7,0
NACOGDOCHES,BIDEN,8989,26,26,0
NACOGDOCHES,OTH,407,26,26,0
NACOGDOCHES,TRUMP,17359,26,26,0
NOLAN,BIDEN,1161,10,10,0
NOLAN,OTH,64,10,10,0
NOLAN,TRUMP,4127,10,10,0
NUECES,BIDEN,60749,128,128,0
NUECES,OTH,1768,128,128,0
NUECES,TRUMP,64467,128,128,0
OCHILTREE,BIDEN,302,5,5,0
OCHILTREE,OTH,42,5,5,0
OCHILTREE,TRUMP,2811,5,5,0
OLDHAM,BIDEN,81,8,8,0
OLDHAM,OTH,11,8,8,0
OLDHAM,TRUMP,917,8,8,0
PALO PINTO,BIDEN,2177,28,28,0
PALO PINTO,OTH,131,28,28,0
PALO PINTO,TRUMP,10170,28,28,0
PANOLA,BIDEN,2057,20,20,0
PANOLA,OTH,73,20,20,0
PANOLA,TRUMP,9322,20,20,0
PARKER,BIDEN,12789,44,44,0
PARKER,OTH,1061,44,44,0
PARKER,TRUMP,61584,44,44,0
PARMER,BIDEN,488,10,10,0
PARMER,OTH,27,10,10,0
PARMER,TRUMP,2133,10,10,0
PECOS,BIDEN,1378,10,10,0
PECOS,OTH,72,10,10,0
PECOS,TRUMP,3213,10,10,0
POLK,BIDEN,5353,22,22,0
POLK,OTH,223,22,22,0
POLK,TRUMP,18496,22,22,0
POTTER,BIDEN,9867,25,25,0
POTTER,OTH,578,25,25,0
POTTER,TRUMP,22732,25,25,0
PRESIDIO,BIDEN,1463,8,8,0
PRESIDIO,OTH,33,8,8,0
PRESIDIO,TRUMP,721,8,8,0
RANDALL,BIDEN,12750,23,23,0
RANDALL,OTH,1072,23,23,0
RANDALL,TRUMP,50597,23,23,0
REAGAN,BIDEN,172,5,5,0
REAGAN,OTH,10,5,5,0
REAGAN,TRUMP,942,5,5,0
REAL,BIDEN,320,6,6,0
REAL,OTH,19,6,6,0
REAL,TRUMP,1643,6,6,0
RED RIVER,BIDEN,1244,20,20,0
RED RIVER,OTH,43,20,20,0
RED RIVER,TRUMP,4513,20,20,0
ROBERTS,BIDEN,17,5,5,0
ROBERTS,OTH,4,5,5,0
ROBERTS,TRUMP,529,5,5,0
ROBERTSON,BIDEN,2359,16,16,0
ROBERTSON,OTH,90,16,16,0
ROBERTSON,TRUMP,5631,16,16,0
ROCKWALL,BIDEN,18149,18,18,0
ROCKWALL,OTH,801,18,18,0
ROCKWALL,TRUMP,38842,18,18,0
RUNNELS,BIDEN,531,11,11,0
RUNNELS,OTH,49,11,11,0
RUNNELS,TRUMP,3682,11,11,0
RUSK,BIDEN,4624,23,23,0
RUSK,OTH,213,23,23,0
RUSK,TRUMP,16511,23,23,0
SABINE,BIDEN,662,9,9,0
SABINE,OTH,32,9,9,0
SABINE,TRUMP,4767,9,9,0
SAN AUGUSTINE,BIDEN,979,12,12,0
SAN AUGUSTINE,OTH,14,12,12,0
SAN AUGUSTINE,TRUMP,3005,12,12,0
SAN JACINTO,BIDEN,2332,12,12,0
SAN JACINTO,OTH,142,12,12,0
SAN JACINTO,TRUMP,10154,12,12,0
SAN PATRICIO,BIDEN,8971,26,26,0
SAN PATRICIO,OTH,384,26,26,0
SAN PATRICIO,TRUMP,16495,26,26,0
SAN SABA,BIDEN,287,4,4,0
SAN SABA,OTH,7,4,4,0
SAN SABA,TRUMP,2308,4,4,0
SCHLEICHER,BIDEN,211,5,5,0
SCHLEICHER,OTH,8,5,5,0
SCHLEICHER,TRUMP,939,5,5,0
SCURRY,BIDEN,818,12,12,0
SCURRY,OTH,69,12,12,0
SCURRY,TRUMP,4978,12,12,0
SHACKELFORD,BIDEN,130,8,8,0
SHACKELFORD,OTH,14,8,8,0
SHACKELFORD,TRUMP,1484,8,8,0
SHELBY,BIDEN,2058,15,15,0
SHELBY,OTH,43,15,15,0
SHELBY,TRUMP,7962,15,15,0
SHERMAN,BIDEN,91,5,5,0
SHERMAN,OTH,14,5,5,0
SHERMAN,TRUMP,885,5,5,0
SMITH,BIDEN,29343,74,74,0
SMITH,OTH,1374,74,74,0
SMITH,TRUMP,68546,74,74,0
SOMERVELL,BIDEN,768,4,4,0
SOMERVELL,OTH,73,4,4,0
SOMERVELL,TRUMP,4099,4,4,0
STARR,BIDEN,9099,10,10,0
STARR,OTH,155,10,10,0
STARR,TRUMP,8224,10,10,0
STEPHENS,BIDEN,396,9,9,0
STEPHENS,OTH,18,9,9,0
STEPHENS,TRUMP,3385,9,9,0
STERLING,BIDEN,51,4,4,0
STERLING,OTH,4,4,4,0
STERLING,TRUMP,584,4,4,0
STONEWALL,BIDEN,116,4,4,0
STONEWALL,OTH,5,4,4,0
STONEWALL,TRUMP,615,4,4,0
SUTTON,BIDEN,322,5,5,0
SUTTON,OTH,13,5,5,0
SUTTON,TRUMP,1222,5,5,0
SWISHER,BIDEN,478,9,9,0
SWISHER,OTH,33,9,9,0
SWISHER,TRUMP,1842,9,9,0
TAYLOR,BIDEN,14489,35,35,0
TAYLOR,OTH,996,35,35,0
TAYLOR,TRUMP,39439,35,35,0
TERRELL,BIDEN,119,5,5,0
TERRELL,OTH,5,5,5,0
TERRELL,TRUMP,334,5,5,0
THROCKMORTON,BIDEN,82,6,6,0
THROCKMORTON,OTH,11,6,6,0
THROCKMORTON,TRUMP,806,6,6,0
TOM GREEN,BIDEN,14774,35,35,0
TOM GREEN,OTH,721,35,35,0
TOM GREEN,TRUMP,35149,35,35,0
TYLER,BIDEN,1180,18,18,0
TYLER,OTH,43,18,18,0
TYLER,TRUMP,6529,18,18,0
UPSHUR,BIDEN,2869,22,22,0
UPSHUR,OTH,206,22,22,0
UPSHUR,TRUMP,15775,22,22,0
UPTON,BIDEN,169,5,5,0
UPTON,OTH,20,5,5,0
UPTON,TRUMP,1170,5,5,0
UVALDE,BIDEN,4066,14,14,0
UVALDE,OTH,97,14,14,0
UVALDE,TRUMP,6160,14,14,0
WALKER,BIDEN,7875,17,17,0
WALKER,OTH,352,17,17,0
WALKER,TRUMP,15368,17,17,0
WALLER,BIDEN,6435,21,21,0
WALLER,OTH,194,21,21,0
WALLER,TRUMP,10837,21,21,0
WARD,BIDEN,761,9,9,0
WARD,OTH,35,9,9,0
WARD,TRUMP,3238,9,9,0
WEBB,BIDEN,12827,70,70,0
WEBB,OTH,219,70,70,0
WEBB,TRUMP,8576,70,70,0
WHEELER,BIDEN,168,11,11,0
WHEELER,OTH,10,11,11,0
WHEELER,TRUMP,2158,11,11,0
WILBARGER,BIDEN,954,5,5,0
WILBARGER,OTH,44,5,5,0
WILBARGER,TRUMP,3520,5,5,0
WILLACY,BIDEN,3097,17,17,0
WILLACY,OTH,41,17,17,0
WILLACY,TRUMP,2437,17,17,0
WISE,BIDEN,4953,26,26,0
WISE,OTH,358,26,26,0
WISE,TRUMP,26986,26,26,0
WOOD,BIDEN,3487,14,14,0
WOOD,OTH,216,14,14,0
WOOD,TRUMP,18962,14,14,0
YOAKUM,BIDEN,419,7,7,0
YOAKUM,OTH,37,7,7,0
YOAKUM,TRUMP,2172,7,7,0
YOUNG,BIDEN,1036,10,10,0
YOUNG,OTH,94,10,10,0
YOUNG,TRUMP,7112,10,10,0
ZAVALA,BIDEN,2117,6,6,0
ZAVALA,OTH,10,6,6,0
ZAVALA,TRUMP,841,6,6,0
