County,REP,DEM,OTH
HANSFORD,1730,171,46
HARDEMAN,1207,249,57
HARDIN,19606,2780,394
HARRIS,545955,707914,58243
HARRISON,18749,7151,648
HARTLEY,1730,173,49
HASKELL,1403,314,53
HAYS,33826,33224,5114
HEMPHILL,1462,181,52
HENDERSON,23650,5669,726
HIDALGO,48642,118809,5986
HILL,10108,2547,315
HOCKLEY,5809,1260,242
HOOD,21382,4008,872
HOPKINS,10707,2510,321
HOUSTON,6205,1978,170
HOWARD,6637,1770,316
HUDSPETH,503,324,44
HUNT,23910,6396,1248
HUTCHINSON,7042,854,259
IRION,660,90,16
JACK,2973,314,63
JACKSON,4266,904,132
JASPER,10609,2590,220
JEFF DAVIS,695,422,74
JEFFERSON,42862,42443,2313
JIM HOGG,430,1635,54
JIM WELLS,5420,6694,265
JOHNSON,44382,10988,2236
JONES,4819,936,205
KARNES,2965,1145,88
KAUFMAN,29587,10278,1400
KENDALL,15700,3643,777
KENEDY,84,99,3
KENT,360,59,15
KERR,17727,4681,889
KIMBLE,1697,206,49
KING,149,5,5
KINNEY,936,458,36
KLEBERG,4367,4716,429
KNOX,1078,247,42
LAMAR,14561,3583,467
LAMB,3111,771,113
LAMPASAS,6385,1483,337
LASALLE,872,1129,58
LAVACA,7347,1170,144
LEE,4997,1372,166
LEON,6391,909,139
LIBERTY,18892,4862,513
LIMESTONE,5796,1778,165
LIPSCOMB,1159,135,38
LIVE OAK,3464,742,96
LLANO,8299,1825,323
LOVING,58,4,3
LUBBOCK,65651,28023,5339
LYNN,1546,403,60
MADISON,3351,881,57
MARION,2983,1165,90
MARTIN,1455,266,41
MASON,1656,354,47
MATAGORDA,8366,3500,330
MAVERICK,2816,10397,375
MCCULLOCH,2552,482,69
MCLENNAN,48260,27063,3752
MCMULLEN,454,40,5
MEDINA,12085,4634,527
MENARD,682,154,28
MIDLAND,36973,10025,2214
MILAM,6364,2051,249
MILLS,1951,243,51
MITCHELL,1780,354,62
MONTAGUE,7526,885,193
MONTGOMERY,150314,45835,8483
MOORE,3977,1098,209
MORRIS,3446,1425,102
MOTLEY,566,40,9
NACOGDOCHES,14771,6846,1005
NAVARRO,11994,4002,437
NEWTON,4288,1156,90
NOLAN,3552,1029,276
NUECES,50766,49198,4441
OCHILTREE,2628,274,100
OLDHAM,850,78,20
ORANGE,25513,5735,752
PALO PINTO,8284,1708,278
PANOLA,8445,1835,136
PARKER,46473,8344,2000
PARMER,1915,485,66
PECOS,2468,1554,163
POLK,15176,4187,489
POTTER,19630,7657,1364
PRESIDIO,652,1458,98
RAINS,3968,628,105
RANDALL,43462,8367,2476
REAGAN,709,167,28
REAL,1382,262,37
RED RIVER,3926,1149,86
REEVES,1417,1659,108
REFUGIO,1830,1034,84
ROBERTS,524,20,10
ROBERTSON,4668,2203,164
ROCKWALL,28451,9655,1842
RUNNELS,3250,453,79
RUSK,14675,3935,384
SABINE,3998,614,39
SAN AUGUSTINE,2622,910,37
SAN JACINTO,8059,2038,246
SAN PATRICIO,13030,7871,755
SAN SABA,2025,293,39
SCHLEICHER,821,208,30
SCURRY,4410,733,146
SHACKELFORD,1378,103,23
SHELBY,7179,1758,149
SHERMAN,807,96,32
SMITH,58930,22300,3538
SOMERVELL,3206,541,150
STARR,2224,9289,227
STEPHENS,3034,348,79
STERLING,549,70,14
STONEWALL,555,135,11
SUTTON,1075,313,28
SWISHER,1671,462,71
TARRANT,345921,288392,34201
TAYLOR,33250,10085,2424
TERRELL,288,140,10
TERRY,2459,753,143
THROCKMORTON,715,84,9
TITUS,6511,2597,311
TOM GREEN,27494,9173,1812
TRAVIS,127209,308260,33251
TRINITY,4737,1154,94
TYLER,6624,1248,144
UPSHUR,13209,2380,424
UPTON,1007,286,54
UVALDE,4835,3867,262
VAL VERDE,5890,6964,763
VAN ZANDT,18473,2799,618
VICTORIA,21275,8866,982
WALKER,12884,6091,821
WALLER,10531,5748,505
WARD,2547,783,115
WASHINGTON,10945,3382,501
WEBB,12947,42307,1651
WHARTON,10149,4238,345
WHEELER,2087,194,25
WICHITA,27631,8770,1718
WILBARGER,3166,809,130
WILLACY,1547,3422,126
WILLIAMSON,104175,84468,14438
WILSON,13998,4790,644
WINKLER,1403,420,53
WISE,20670,3412,694
WOOD,15700,2630,397
YOAKUM,1797,426,80
YOUNG,6601,876,230
ZAPATA,1029,2063,50
ZAVALA,694,2636,66
